id,description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
70820,"A good sized room with a comfy double bed and views across Bristol. Wander to the local park in the morning, pop to the harbourside to explore for the day and head to the local in the evening!<br /><br /><b>The space</b><br />The room is in an old Victorian house and has views across Bristol to the famous Suspension Bridge. This looks fantastic at night with all the lights. <br /><br />The bathroom has a bath only (there is a shower attachment but it is not very powerful), but there is lots of hot water and bubble bath. There is a table and chair in the room as well as hanging space. <br /><br />The house is very homely; it's more very relaxed and shabby chic than perfection. There a quite a few walk books for the area that you are welcome to borrow. <br /><br />I live in the house and may well be there when you stay. I am away a lot of weekends, but generally there in the weeks.<br /><br /><b>Guest access</b><br />Guest's have access to the kitchen and the bathroom is also shared with",360195,Sarah,100%,90%,"['email', 'phone', 'work_email']",Windmill Hill,51.43994,-2.59173,Private room,,1 shared bath,"[""Heating"", ""Hangers"", ""Hot water"", ""Wifi"", ""Essentials"", ""Lockbox"", ""Iron"", ""Hair dryer"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Free parking on premises""]",$42.00,178
117122,"My Harbourside apartment centrally located minutes from Bristol and Clifton offers a peaceful respite along the water.<br />A large double bedroom and open plan living room await your arrival. Amenities include shower and onsite gym and sauna.<br />Virgin 300mb Fiber Broadband.Apple Tv in Bedroom.<br />The fee for three or more guests is £300 per night (plus Airbnb fees).<br /><br /><b>The space</b><br />A quiet, serene apartment in Bristol city center along the waterside. This two bedroom apartment compromises a shared living room, kitchen and dining room. <br />As a guest you have(URL HIDDEN)a. Large private bedroom with a brand new mattres(URL HIDDEN)b. Your own private en-suite with rain shower(URL HIDDEN)c. Off street parkin(URL HIDDEN)d. Wireless Internet throughout(URL HIDDEN)e. Laundry facilitie(URL HIDDEN)f. Use of kitchen, living and dining room.<br /><br />My own Master Bedroom can be rented out thus allowing four guests to use the whole apartment. The fee for three or more ",591555,Marcus,100%,96%,"['email', 'phone']",Clifton,51.45051,-2.61054,Private room,,2.5 shared baths,"[""Extra pillows and blankets"", ""Body soap"", ""Dishes and silverware"", ""Freezer"", ""Carbon monoxide alarm"", ""Essentials"", ""Dishwasher"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Cooking basics"", ""Room-darkening shades"", ""Microwave"", ""First aid kit"", ""Hot water kettle"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Luggage dropoff allowed"", ""Toaster"", ""Shampoo"", ""Coffee maker"", ""Waterfront"", ""Private patio or balcony"", ""Dedicated workspace"", ""Cable TV"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Dining table"", ""Game console: PS3"", ""Mini fridge"", ""Kitchen"", ""65\"" HDTV with Amazon Prime Video, Netflix, Apple TV, standard cable, premium cable"", ""Portable fans"", ""Stove"", ""Cleaning products"", ""Iron"", ""Paid street parking off premises"", ""Hair dryer"", ""Elevator"", ""Breakfast"", ""Shower gel"", ""Wine glasses"", ""Host greets you""]",$96.00,166
176306,"A small double room in an artist's house, with North Street indy culture, bars and shops on the doorstep. Nestled on a quiet street just next to the action. Enjoy breakfast in the garden. 17 minutes' walk from the centre of Bristol / 2 minutes from the bus stop.<br /><br /><b>The space</b><br />Private room in a characterful cottage / artist studio. Great central location.<br /><br />I work as an artist/designer, and the house is full of interesting and beautiful things I've collected from the UK and travels in South America and Asia.<br /><br />The White Room  has a small double bed and an airbed, it can accommodate 1 or 2 people.<br /><br />There is on-street parking nearby and a free carpark; unrestricted at weekends.<br /><br /><b>Guest access</b><br />Fully equipped kitchen & bathroom.<br />Living Room.<br />Dining room most of the time.<br />Front & back gardens.",708175,Orla,90%,44%,"['email', 'phone']",Bedminster,51.44101,-2.60121,Private room,,1 shared bath,"[""Extra pillows and blankets"", ""Dishes and silverware"", ""Paid washer \u2013 In building"", ""Essentials"", ""Dishwasher"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Microwave"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Private fenced garden or backyard"", ""Shampoo"", ""Coffee maker"", ""BBQ grill"", ""Dedicated workspace"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Iron"", ""Hair dryer"", ""Host greets you""]",$32.00,39
307634,"Close to Bristol and Bath Railway Path, leading to Bath and Bristol City Centre: Bike, walk or bus ride. Local train station connects to Bristol Temple Mead Station & elsewhere. Excellent grocery stores, great cafes & eateries, friendly pubs. Set in a quiet residential backwater, close to parks & green walking spaces with quick and easy access to the city. Free on street parking. You’ll love my place for its cosiness, location, and people.  Couples, solo adventurers, business travellers welcome.<br /><br /><b>The space</b><br />Please DO NOT MAKE a RESERVATION before discussing with me. Also, I do not have the facilities for guests traveling from abroad who need to quarantine. <br /><br />Two peaceful rooms available under separate listings, <br /><br />This listing offers 'The Lilac Room' provides a very peaceful double bedroom on the first floor, overlooking the back garden.<br />This room boasts beautiful natural light, a large modern streamline desk with storage for admin or anythi",1582810,Wendy,100%,94%,"['email', 'phone']",Easton,51.46641,-2.55533,Private room,,1.5 shared baths,"[""Extra pillows and blankets"", ""Dishes and silverware"", ""Freezer"", ""Carbon monoxide alarm"", ""Essentials"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Laundromat nearby"", ""Room-darkening shades"", ""Bathtub"", ""Fire pit"", ""Outdoor furniture"", ""Outdoor dining area"", ""First aid kit"", ""Hot water kettle"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Washer"", ""Toaster"", ""Coffee maker"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Central heating"", ""Wifi"", ""Hot water"", ""Ethernet connection"", ""Long term stays allowed"", ""Baking sheet"", ""Backyard"", ""Dining table"", ""Organic castile which is oil based liquid soap, upon request  body soap"", ""Lock on bedroom door"", ""Kitchen"", ""Fireplace guards"", ""Portable fans"", ""Stove"", ""Cleaning products"", ""Iron"", ""Hair dryer"", ""Drying rack for clothing"", ""Clothing storage: dresser"", ""Indoor fireplace"", ""Wine glasses"", ""Host greets you""]",$36.00,30
341227,"This is a unique home in the heart of Montpelier in the heart of Bristol. Comfortable and wild around the edges this house is intriguing and loves to be explored. Although Honeybottom is in central Bristol its peaceful and restful here. The garden is a little green haven in a world of graffiti, stone and concrete whilst being surrounded by some of the best out and aboutings that Bristol has to offer. <br />Come and stay x<br />P.s Check out Charlotte Gainsbourg's self directed video for Ring a Roses.....<br /><br /><b>The space</b><br />(This is a residential area and the house is not detached, so in line with pub law: No 'Noise' outside after 11pm please. Only the number of people booked and paid for can use the house at any one time.)<br /><br />This is a unique house in the heart of Montpelier. I chose him because he was a happy house with a good vibe and because the garden had a miniture woodland. He has been renovated sympathetically and is full of magic and character and a life s",237360,Samantha,100%,96%,"['email', 'phone']",Ashley,51.46661,-2.58709,Entire home/apt,,3 baths,"[""Body soap"", ""Dishes and silverware"", ""Freezer"", ""Carbon monoxide alarm"", ""Essentials"", ""Dishwasher"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Laundromat nearby"", ""Microwave"", ""Bathtub"", ""Outdoor furniture"", ""Outdoor dining area"", ""Hot water kettle"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Private fenced garden or backyard"", ""Washer"", ""Luggage dropoff allowed"", ""Toaster"", ""Shampoo"", ""Coffee maker"", ""Cleaning before checkout"", ""Private patio or balcony"", ""Dedicated workspace"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Fire extinguisher"", ""Private entrance"", ""Dining table"", ""Kitchen"", ""Fireplace guards"", ""Stove"", ""Conditioner"", ""Cleaning products"", ""Iron"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Shower gel"", ""Indoor fireplace"", ""Wine glasses"", ""Host greets you""]",$571.00,108
390781,"A room with a shared bathroom in a Victorian terraced house - expect creaky floorboards and doors. <br /><br />You have a minifridge, kettle and microwave in your room. Please note that at this time that the main kitchen and lounge are out of use for guests. <br /><br />It has easy access by car (on-street parking only) and bus. Breakfast isn't provided as we're next door to Sainsbury's supermarket.<br /><br />I work from home so ask that you're out during working hours as my office is next to the spare room.<br /><br /><b>The space</b><br />Please check out the ""About Me"" section. <br /><br />Please share something about yourself too since you will be staying in my home. Bookings without a profile photo or ""about you"" may be declined as I may not feel safe in my own home without knowing something about you.",1954565,Fiona,100%,95%,"['email', 'phone', 'work_email']",Brislington West,51.44429,-2.55777,Private room,,1 shared bath,"[""Extra pillows and blankets"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Essentials"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Laundromat nearby"", ""Microwave"", ""First aid kit"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Shampoo"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Backyard"", ""Kitchen"", ""Iron"", ""Hair dryer"", ""Shower gel"", ""Host greets you""]",$35.00,50
392215,"quiet household, slightly whacky but always friendly and homely.<br /><br />WOMEN ONLY bookings please<br /><br />private room - this is not a room shared with others, not a hostel but your own private room!<br /><br /><b>The space</b><br />WOMEN ONLY GUESTS PLEASE!!!!!!<br />Large room with small double bed, bright and airy, overlooking garden, use of kitchen, large garden, in very quiet household.<br />Only 1-2 minutes walk to bus number 1 which goes straight to the city centre.  <br />5 minutes walk to very large nature reserve - so you get both the city and the country in one.<br />Happy to collect you from the airport for a fee (£16 one way)  <br />Women only guests please!!!<br />WOMEN ONLY GUESTS PLEASE!!!!!!<br />Smoking permitted only in the garden (bus shelter kind of smoking shelter provided)<br />Other than that a happy, laid back atmosphere with easy going surroundings<br />This is a basic but very friendly household.<br />I provide maps of Bristol and can give you some ti",1961385,Bea,,,"['email', 'phone']",Brislington East,51.44177,-2.53744,Private room,,1 shared bath,"[""Carbon monoxide alarm"", ""Essentials"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Patio or balcony"", ""Microwave"", ""First aid kit"", ""Hangers"", ""Oven"", ""Refrigerator"", ""Washer"", ""Lockbox"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Fire extinguisher"", ""Backyard"", ""Kitchen"", ""Stove"", ""Iron"", ""Hair dryer""]",$19.00,25
399681,"We actually have up to 4 rooms available with various combinations of accommodation options. Please get in touch if you have specific requests.<br /><br /><b>The space</b><br />En Suite double bedroom on beautiful top floor of historic house with fantastic views of old Westbury on Trym - large, beautifully decorated double bedroom, delightful ensuite bathroom, separate room for relaxing, reading etc. Minutes from Bristol - so much to see and do. Excellent public transport. Ample off street parking. Breakfast included - help yourself to cereal, toast, fruit etc. and Tea or Coffee. Happy to offer some evening meals, negotiable seperately. But plenty of excellent eateries within 5 mins walk. A five star English Heritage listed property, offering lovely and unique accommodation at half the price or less of an equivalent hotel - with an infinitely more personal welcome.<br /><br />If there are more than two of you, there is a delightful single room next to the main guest bedroom, but this w",1941316,Kevin & Lesley,100%,71%,"['email', 'phone']",Westbury-on-Trym & Henleaze,51.49508,-2.61715,Private room,,1.5 baths,"[""Dishes and silverware"", ""Carbon monoxide alarm"", ""Essentials"", ""Dishwasher"", ""Smoke alarm"", ""Cooking basics"", ""Free washer \u2013 In building"", ""Microwave"", ""Outdoor furniture"", ""Outdoor dining area"", ""Free parking on premises"", ""Hangers"", ""Oven"", ""Refrigerator"", ""Private fenced garden or backyard"", ""Shampoo"", ""Coffee maker"", ""BBQ grill"", ""Private patio or balcony"", ""Heating"", ""Wifi"", ""Hot water"", ""Free dryer \u2013 In building"", ""Long term stays allowed"", ""TV"", ""Kitchen"", ""Stove"", ""Iron"", ""Hair dryer"", ""Breakfast"", ""Indoor fireplace"", ""Host greets you""]",$80.00,91
407485,"<b>The space</b><br />This is a sunny, light high ceilinged apartment on the garden level of this impressive Grade 2 listed 200 year old Georgian house set on a hill in Montpelier, Bristol. The owner lives on the top 2 levels of the property. The apartment has its own side door at the bottom of the side steps (with iron handrail) with access to a south facing terrace overlooking the garden. The terrace is for sole use of the apartment and access <br />to the garden is allowed if there are children staying (there is a 2 metre drop down to the vegetable patch at the end of the garden so young ones will need to be supervised for safety) <br />This is ideal for 2 people but there is a new full size double super comfy sofa bed (a proper thick mattress 140cm X 190cm) in the living room which has a really comfy thick mattress on it and has had excellent feedback for comfort (available for £20 per person per night). There is also a  new solid fold out bed. There is a large travel cot available",2029719,Ingrid,100%,48%,"['email', 'phone']",Ashley,51.46941,-2.58166,Entire home/apt,,1.5 baths,"[""Extra pillows and blankets"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Essentials"", ""Dishwasher"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Room-darkening shades"", ""Microwave"", ""Crib"", ""First aid kit"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Lockbox"", ""Shampoo"", ""Coffee maker"", ""BBQ grill"", ""Private patio or balcony"", ""High chair"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Fire extinguisher"", ""Private entrance"", ""Backyard"", ""TV"", ""Kitchen"", ""Stove"", ""Iron"", ""Hair dryer""]",$93.00,306
421205,"My cool and comfortable flat has a spare room for guests that fits up to 2 people and is centrally located in very convenient area in Bristol with lots of facilities, supermarkets, restaurants, bars.. It has become a trendy area in the last 5 years.<br /><br /><b>The space</b><br />The flat is tidy and cosy.<br />The guest room although is usually laid as a single can be also twin or double to accommodate two.<br /> My guests enjoy their own bathroom and wifi. <br />No meals offered but there are plenty of cafes we can highly recommend in the area.<br />Close to the centre, less than ten minutes walk and also plenty of bus links to travel to other parts of the city. Parking is in my road, car owners can either park car in the road or nearby parking areas. <br />Lots of public transport links closeby.<br />Close to shops and the city centre malls such as the popular Cabot Circus. My area has become a trendy and artistic one.<br />I am an experienced and devoted host, i love hosting and ",2094659,Lis,100%,54%,"['email', 'phone']",Ashley,51.46547,-2.58458,Private room,,1 private bath,"[""Extra pillows and blankets"", ""Body soap"", ""Carbon monoxide alarm"", ""Essentials"", ""Smoke alarm"", ""Room-darkening shades"", ""Bathtub"", ""Free parking on premises"", ""First aid kit"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Paid parking off premises"", ""Shampoo"", ""Coffee maker"", ""Heating"", ""Wifi"", ""Hot water"", ""Fire extinguisher"", ""Backyard"", ""Iron"", ""Hair dryer"", ""Host greets you""]",$35.00,185
