id,description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
103875,"Your own modern house in the city center, surrounded by a courtyard. Both stations within walking distance and all public transport around the corner. Museums, beaches, theaters, shops, canals nearby. Bakery, supermarket and shops 2 min. <br />Private parking can be reserved in advance by owner, 15,00 euros per day.<br /><br /><b>The space</b><br />This special and beautifully designed townhouse with its own entrance is spread over a ground floor and first floor. The house is hidden in a private street with 10 other houses and can be found right in the center of The Hague in a quiet and 19th-century traditional The Hague courtyard. Around the corner Avenue Culinary with its abundance of restaurants, cafes and theaters. Only a 10 minute walk from both train stations.<br />General. Private parking space can be reserved in advance by the owner, 15,00 euros per day.<br /><br />• Private parking place (15,00 euros per day)<br />• Private entrance on the ground floor<br />• Heated floors / d",541315,Arthur,100%,100%,"['email', 'phone', 'work_email']",Zuidwal,52.07453,4.31669,Entire home/apt,,1.5 baths,"[""Hot water"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Building staff"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Microwave"", ""Wifi"", ""Paid parking on premises"", ""Essentials"", ""Cable TV"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Dryer"", ""Stove"", ""Washer"", ""Private entrance"", ""Private garden or backyard"", ""Coffee maker"", ""Hair dryer"", ""Patio or balcony"", ""First aid kit"", ""Fire extinguisher"", ""Shampoo"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$125.00,20
113693,"I rent the  house for MORE  than one person .for renting for one person, I have another site here, please use another site https://www.airbnb.nl/rooms<br /><br /><b>The space</b><br />This a Dutch style house with three floors. The house has a large hall with a  kitchen on the ground floor and a total of three bedrooms on second and third floor. The house has a Dutch-style staircase. There are two bathrooms. Two bedrooms have double beds and there is a single bed in the third bedroom. The house can accommodate five people. <br /><br />One bathroom has a shower and a bathtub, the second bathroom has a shower. The kitchen is well equipped and there are all the things you will need. <br /><br />The house has following amenities: wireless internet, a hot tub, and a washing machine.  The house is suitable for couples with children.   <br /><br />Delft is a very old city and is rich of historical buildings and sites. It has some of country's most oldest canals. The city is not only known for",577957,Lara,100%,99%,"['email', 'phone']",Vliegeniersbuurt,52.00866,4.3541,Entire home/apt,,2.5 baths,"[""Hot water"", ""Dedicated workspace"", ""Paid parking garage off premises"", ""Drying rack for clothing"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Microwave"", ""Wifi"", ""Bathtub"", ""Essentials"", ""Cleaning before checkout"", ""Oven"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Free street parking"", ""Stove"", ""Private hot tub"", ""Cleaning products"", ""Wine glasses"", ""TV"", ""Coffee maker"", ""Hair dryer"", ""Freezer"", ""Patio or balcony"", ""Bed linens"", ""First aid kit"", ""Shampoo"", ""Hot water kettle"", ""Host greets you"", ""Shower gel"", ""Outlet covers"", ""Body soap"", ""Baking sheet"", ""Outdoor furniture"", ""Backyard"", ""Free washer \u2013 In building"", ""Toaster"", ""Carbon monoxide alarm"", ""Portable fans"", ""Private indoor pool"", ""Hangers"", ""Conditioner"", ""Dining table"", ""Central heating""]",$51.00,359
154506,"<b>The space</b><br />Studio with kitchenette, shower bathroom, wood stove for heating, free enterance in private sunny garden with pool.<br />Free closet parking. <br />Clean towels every day and clean bed furniture one time a week are inclusive.<br />There is a spare bed available for 10 eur per night including towels etc.<br />Public transport 1 minute walk, and it go's for 10 minuts to center of the historic Delft with many museums, 15 minutes to the center of The Hague, Peace palace and a lot of dutch history, and 20 minutes to go Scheveningen beach with the harbor, casino, promenate and all the high-liths . There are also many galleries, walkingtours and boattours in the Hague.<br />Rotterdam and Leiden are also easy to reach.<br />Highway 1 minute from here.<br />Many maps and vouchers are available.<br />We have also 2 bikes for you.<br />There can be barbecued in the garden.<br /><br />The studio is easy to reach from a main road giving to easy access to many big, historic cit",743189,"Lia, Ron",100%,97%,"['email', 'phone']",Vliegeniersbuurt,52.04468,4.34476,Entire home/apt,,1.5 baths,"[""Fire pit"", ""BBQ grill"", ""Dishes and silverware"", ""Kitchen"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Microwave"", ""Wifi"", ""Essentials"", ""Smoke alarm"", ""Bikes"", ""Refrigerator"", ""Security cameras on property"", ""Free street parking"", ""Free parking on premises"", ""Pool"", ""Cleaning products"", ""Private entrance"", ""Coffee maker"", ""Bed linens"", ""Shampoo"", ""Barbecue utensils"", ""Backyard"", ""Single level home"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Hangers""]",$65.00,236
378711,"Onze archictectonische half vrij staande villa ligt in the international quater dicht bij zee en het centrum van Den Haag. De ruime studio begeeft zich onder het huis en kent veel privacy en rust.<br />Het heeft een eigen badkamer en kleine keuken en kleine patio waar je buiten kunt zitten.<br />Corona proof, omdat de studio een eigen opgang heeft met eigen ruimte is fysieke afstand met de eigenaren/bewoners boven het huis gegarandeerd.<br />No -smoking<br /><br /><b>The space</b><br />in a under archritecture build beautiful house under basement (80 m) has its own entree,kitchen and bathroom.<br /><br /><b>Guest access</b><br />Gasten hebben een eigen opgang; De hal wordt gemeenschappelijk gebruikt.<br /><br /><b>Other things to note</b><br />Het is een hele rustige, ruime ruimte.<br />Er is wifi, geen tv.<br />De studio beschikt over een ruime badkamer en kleine keuken.<br />De studio beschikt over een eigen ingang met halletje.<br /><br /><b>License number</b><br />0518 8B36 A437 A0",1902132,Karen,100%,64%,"['email', 'phone']",Duttendel,52.10822,4.30535,Private room,,1 private bath,"[""Hot water"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Cooking basics"", ""Extra pillows and blankets"", ""Microwave"", ""Wifi"", ""Outdoor dining area"", ""Essentials"", ""Private patio or balcony"", ""Heating"", ""Refrigerator"", ""Iron"", ""Free street parking"", ""Dryer"", ""Free parking on premises"", ""Stove"", ""Lockbox"", ""Washer"", ""Private entrance"", ""Coffee maker"", ""Beachfront"", ""Bed linens"", ""First aid kit"", ""Shampoo"", ""Shower gel"", ""Baking sheet"", ""Outdoor furniture"", ""Long term stays allowed"", ""Hangers""]",$110.00,22
450807,"Zen in de city is een fijn groot apartement midden in het centrum van Den Haag. Het heeft een eigen voordeur / entree. Het is een ensuite kamer met grote keuken en luxe badkamer met douche en wirlpool. Om de hoek winkels om lekker te eten.<br /><br /><b>The space</b><br />Nearby Central Station The Hague 5 minute Walk.<br />Good public transfer (train,bus,tram) to the sea: Scheveningen / Amsterdam / Rotterdam. <br />Our total privat appartement sets in a friendly and save atmosfeer in Bezuidenhout (good shops for every day needs) of The Hague.<br />The place ""Zenindecity"" is on the groundfloor and with a nice garden. The house is traditional build in 1896 with ensuite rooms. You rent the whole appartement with privat entrance. <br />Comfortable privat kitchen (oven, dishwasser) available. <br />The beds are comfotable heigh senoir beds (good matras). <br />An extra double or single airbed is available. Bathroom with wirlpool and shower. Relaxed interior to meditate. <br /><br />Prices:",2238496,Saskia,,0%,"['email', 'phone']",Bezuidenhout-Midden,52.08399,4.33062,Entire home/apt,,1.5 baths,"[""Hot water"", ""Dishes and silverware"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Wifi"", ""Essentials"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Dryer"", ""Stove"", ""Hot tub"", ""Washer"", ""TV"", ""Coffee maker"", ""Hair dryer"", ""Beachfront"", ""Patio or balcony"", ""First aid kit"", ""Fire extinguisher"", ""Shampoo"", ""Host greets you"", ""Backyard"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Hangers""]",$93.00,126
492615,"Nice  L-shaped room in 1920's era   3 bedroom portiek flat in Centrum.<br /><br />Room w  bunk bed (single + double), dresser, desk + chair    <br /><br />Full kitchen, nice living room, bath w shower/ Jacuzzi,  WIFI very quiet location with children's farm behind flat 10 min walk to Centrum & 10 min tram or bike ride to beach<br /><br /><b>The space</b><br />Very light and cheery but small L shaped room in 3 bedroon walk up portiek flat Centrum Den Haag. <br /><br />Room is suitable for one or two guests.<br /><br />The room is equipped with a bunk bed (single above / double below) a dresser, desk, chair and hooks on the wall to hang clothes/coats. There are two large and one smaller opening windows .<br /><br />There is a shared full kitchen and nice living room with a small balcony looking out on a chldrens farm. Also a shared toilet room and a bathroom with a large cornerJacuzzi tub and shower.<br /><br />The house is situatied in a nice residential area on a very quiet street and ",1003354,Paul,100%,90%,"['email', 'phone']",Schildersbuurt-West,52.07198,4.29595,Private room,,1.5 shared baths,"[""Hot water"", ""Dishes and silverware"", ""Kitchen"", ""Shared hot tub"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Clothing storage: closet"", ""Microwave"", ""Wifi"", ""Bathtub"", ""Essentials"", ""Private patio or balcony"", ""Oven"", ""Heating"", ""Paid street parking off premises"", ""Refrigerator"", ""Iron"", ""Stove"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Shampoo"", ""Hot water kettle"", ""Host greets you"", ""Shower gel"", ""Baking sheet"", ""Body soap"", ""Toaster"", ""EV charger"", ""Portable fans"", ""Hangers"", ""Conditioner"", ""Dining table""]",$37.00,319
523633,"Fully independent apartment on the 38th floor of The Hague Tower, welcome to The Penthouse Apartments on Top of the City. Enjoy stunning views of city of The Hague and the coastline, all the way up to Hook of Holland.<br /><br />Enjoy your comfortable skyscraper home! Includes comfortable double bed, Samsung Smart-TV and Nespresso machine.<br /><br /><b>The space</b><br />Amazing apartment on one of the top floors (39th) of The Hague Tower. This is apartment 771. Enjoy stunning views of city of The Hague and the coastline, all the way up to Hook of Holland.<br /><br />Central location right next to The Hague HS station. The city centre is within walking (10mins) distance. Living room with bedroom, open kitchen and bathroom with soft bath towels. Perfect for a night or longer stay in The Hague, your own skyscraper apartment!<br /><br />The tower also features a business lounge with free access and a basic fitness facility (free entrance). New York's famous flatiron building served as th",300966,Elwin,100%,97%,"['email', 'phone', 'work_email']",Huygenspark,52.07223,4.32396,Entire home/apt,,1 bath,"[""Hot water"", ""Dedicated workspace"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Crib"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Wifi"", ""Bathtub"", ""Essentials"", ""Cable TV"", ""Microwave"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Security cameras on property"", ""Paid parking off premises"", ""Dryer"", ""Stove"", ""Gym"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Elevator"", ""Shampoo"", ""TV with standard cable"", ""Single level home"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$232.00,388
628445,"Fully independent apartment on the 39th floor of The Hague Tower, welcome to The Penthouse Apartments on Top of the City.  Enjoy stunning views of city of The Hague, the coastline, Delft, Rotterdam and Hook of Holland.<br /><br />Enjoy your comfortable skyscraper home! Includes comfortable double bed, Samsung Smart-TV and Nespresso machine.<br /><br /><b>The space</b><br />Amazing apartment on one of the top floors (39th) of The Hague Tower. This is apartment 773. Enjoy stunning views of city of The Hague, the coastline, Delft, Rotterdam and Hook of Holland.<br /><br />Central location right next to The Hague HS station. The city centre is within walking (10mins) distance. Living room with bedroom, open kitchen and bathroom with soft bath towels. Perfect for a night or longer stay in The Hague, your own skyscraper apartment!<br /><br />The tower also features a business lounge with free access and a basic fitness facility (free entrance). New York's famous flatiron building served as t",300966,Elwin,100%,97%,"['email', 'phone', 'work_email']",Huygenspark,52.07027,4.32552,Entire home/apt,,1 bath,"[""Hot water"", ""Dedicated workspace"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Crib"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Wifi"", ""Microwave"", ""Essentials"", ""Cable TV"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Security cameras on property"", ""Paid parking off premises"", ""Dryer"", ""Stove"", ""Gym"", ""Washer"", ""Private entrance"", ""Coffee maker"", ""Hair dryer"", ""Elevator"", ""Shampoo"", ""TV with standard cable"", ""Single level home"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$257.00,255
635931,"Fully independent apartment on the 39th floor of The Hague Tower, welcome to The Penthouse Apartments on Top of the City. Enjoy stunning views of city of The Hague and the coastline, all the way up to Hook of Holland.<br /><br />Enjoy your comfortable skyscraper home! Includes comfortable double bed, Samsung Smart-TV and Nespresso machine.<br /><br /><b>The space</b><br />Amazing apartment on one of the top floors (39th) of The Hague Tower. This is apartment 772. Enjoy stunning views of city of The Hague and the coastline, all the way up to Hook of Holland.<br /><br />Central location right next to The Hague HS station. The city centre is within walking (10mins) distance. Living room with bedroom, open kitchen and bathroom with soft bath towels. Perfect for a night or longer stay in The Hague, your own skyscraper apartment!<br /><br />The tower also features a business lounge with free access, a basic fitness facility (free entrance). New York's famous flatiron building served as the i",300966,Elwin,100%,97%,"['email', 'phone', 'work_email']",Huygenspark,52.07081,4.32496,Entire home/apt,,1 bath,"[""Hot water"", ""Dedicated workspace"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Crib"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Wifi"", ""Microwave"", ""Essentials"", ""Cable TV"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Security cameras on property"", ""Paid parking off premises"", ""Dryer"", ""Stove"", ""Gym"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Elevator"", ""Shampoo"", ""TV with standard cable"", ""Single level home"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$240.00,137
635974,"Fully independent apartment on the 39th floor of The Hague Tower, welcome to The Penthouse Apartments on Top of the City.  40km views on the west side: The Hague city and the coastline up to Hoek van Holland.<br /><br />Enjoy your comfortable skyscraper home! Includes comfortable double bed, Samsung Smart-TV and Nespresso machine.<br /><br /><b>The space</b><br />Amazing apartment on one of the topfloors (39th) of The Hague Tower. This apartment (774) has views toward the South (direction Rotterdam).<br /><br />Central location right next to The Hague HS station. The city centre is within walking (10mins) distance. Living room with bedroom, open kitchen and bathroom with soft bath towels. Perfect for a night or longer stay in The Hague, your own skyscraper apartment!<br /><br />The tower also features a business lounge with free access and a basic fitness facility (free entrance). New York's famous flatiron building served as the inspiration for the building's architecture.<br /><br />",300966,Elwin,100%,97%,"['email', 'phone', 'work_email']",Huygenspark,52.07137,4.32465,Entire home/apt,,1 bath,"[""Hot water"", ""Dedicated workspace"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Crib"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Wifi"", ""Microwave"", ""Essentials"", ""Cable TV"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Security cameras on property"", ""Paid parking off premises"", ""Dryer"", ""Stove"", ""Gym"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Elevator"", ""Shampoo"", ""TV with standard cable"", ""Single level home"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$227.00,215
